name,price,description,sustainability_features,rating,number_of_reviews,product_page_url,product_features
"HP LaserJet MFP M140w Wireless Printer, Print, scan, copy, Fast speeds, Easy setup, Mobile printing, Best-for-small teams",149.00,"FROM AMERICA'S MOST TRUSTED PRINTER BRAND – Perfect for small teams printing, scanning and copying professional-quality black & white documents and reports. Perfect for 1-3 people.
WORLD'S SMALLEST LASER IN ITS CLASS – Precision laser printing, scanning, and copying that fits anywhere
FAST PRINT SPEEDS – Up to 21 black-and-white pages per minute single-sided
WIRELESS WITH SELF-RESET – Helps you stay connected
EASILY COPY ID CARDS AND MORE – Copy both sides of ID cards or other small-size documents onto the same side of one sheet of paper
PRINT FROM ANY DEVICE – Wireless printing from any mobile device, PC or tablet. Works with Microsoft, Mac, AirPrint, Android, Chromebook and more
This printer is intended to work only with cartridges with original HP chips or circuitry and will block cartridges using non-HP chips or circuitry. Periodic firmware updates will maintain the effectiveness of these measures","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.5 out of 5 stars,651 ratings,https://www.amazon.com/HP-LaserJet-M140w-Wireless-Printer/dp/B09MSPNYQ2/ref=sr_1_1?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-1&srs=24229290011,"Product Features: [""America's most trusted printer brand"", ""small teams"", ""printing"", ""scanning"", ""copying"", ""professional-quality black & white documents"", ""1-3 people"", ""world's smallest laser"", ""precision laser printing"", ""fast print speeds"", ""21 black-and-white pages per minute"", ""wireless"", ""self-reset"", ""ID cards"", ""small-size documents"", ""sheet of paper"", ""mobile device"", ""PC"", ""tablet"", ""Microsoft"", ""Mac"", ""AirPrint"", ""Android"", ""Chromebook"", ""cartridges"", ""original HP chips"", ""circuitry"", ""firmware updates""]"
"CHERRY Stream Keyboard Wired USB SX Scissors Mechanism QWERTY Whisper-Quiet Silent Keystroke for Home Office, Work or Personal Computer. Black",29.99,"work at your fingertips: whisper-quiet keystroke, unbeatable typing experience
highest quality: durable key label, in-house sx scissor mechanism, environmental label blue angel
user comfort: 3 integrated status indicators, perfect slip resistance, 10 office and multimedia keys
modern design: flat height, focused on the essential, gs approval. Connectivity technology: USB
American Entrepreneurship coupled with German Engineering. Today, CHERRY is regarded as the epitome of quality, innovation, design and sustainability. A unique feeling.","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.5 out of 5 stars,"1,484 ratings",https://www.amazon.com/Cherry-Mechanism-Whisper-Quiet-Keystroke-Computer/dp/B07Z1KH3PL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-2&srs=24229290011,"Product Features: [""whisper-quiet keystroke"", ""typing experience"", ""durable key label"", ""sx scissor mechanism"", ""environmental label"", ""integrated status indicators"", ""slip resistance"", ""office and multimedia keys"", ""modern design"", ""flat height"", ""gs approval"", ""connectivity technology"", ""USB"", ""American Entrepreneurship"", ""German Engineering"", ""quality"", ""innovation"", ""design"", ""sustainability"", ""feeling""]"
"HP Color LaserJet Pro Multifunction M479fdw Wireless Laser Printer with One-Year, Next-Business Day, Onsite Warranty (W1A80A), White",449.00,"BUILT TO KEEP YOUR BUSINESS MOVING FORWARD – Print, scan, copy and fax consistently high-quality documents with the HP Color LaserJet Pro Multifunction M479fdw, a wireless printer designed to let you focus on growing your business.Operating temperature range : 10 to 32.5°C
HP WOLF PRO SECURITY – Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS
AUTOMATE COMPLICATED WORKFLOWS - Help save time by automating all the steps in a complicated workflow, and apply your saved settings at a touch of a button via the customizable touchscreen control panel
PRINT WITH OR WITHOUT A NETWORK – Use built-in Wi-Fi Direct to connect your smartphone directly to your wireless laser printer for easy mobile printing, even without a local network connection
SPEED THROUGH TASKS – Stay productive with single-pass, 2-sided scanning, 50-sheet auto document feeder, 250-sheet input tray, and print speeds of up to 28 pages per minute from this laser printer
ENHANCED ENERGY EFFICIENCY – Designed with the environment in mind, the HP Color LaserJet Pro MFP M479fdw saves up to 18% energy over prior products, with technologies that help reduce paper waste
TONER CARTRIDGES YOU CAN TRUST – Avoid reprints, wasted supplies, and service calls by using Original HP 414A/414X toner cartridges designed for your multifunction color laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.2 out of 5 stars,"4,242 ratings",https://www.amazon.com/HP-LaserJet-Multifunction-M479fdw-Next-Business/dp/B07RQB5WJW/ref=sr_1_3?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-3&srs=24229290011,"Product Features: [""Print"", ""Scan"", ""Copy"", ""Fax"", ""Documents"", ""HP Color LaserJet Pro Multifunction M479fdw"", ""Wireless printer"", ""Operating temperature range"", ""HP WOLF PRO SECURITY"", ""Data"", ""Cyberattacks"", ""Protection"", ""Printer hardware"", ""Firmware"", ""OS"", ""Workflows"", ""Steps"", ""Settings"", ""Touchscreen control panel"", ""Wi-Fi Direct"", ""Smartphone"", ""Wireless laser printer"", ""Mobile printing"", ""Network connection"", ""Tasks"", ""Single-pass"", ""2-sided scanning"", ""50-sheet auto document feeder"", ""250-sheet input tray"", ""Print speeds"", ""Pages per minute"", ""Energy efficiency"", ""Environment"", ""HP Color LaserJet Pro MFP M479fdw"", ""Energy"", ""Technologies"", ""Paper waste"", ""Toner cartridges"", ""Reprints"", ""Supplies"", ""Service calls"", ""HP 414A/414X toner cartridges"", ""Multifunction color laser printer""]"
"HP LaserJet Pro M404dn Monochrome Printer with built-in Ethernet & 2-sided printing, works with Alexa (W1A53A)",649.99,"Built to keep your business moving forward: Print consistently high-quality documents with the HP LaserJet Pro M404dn, A monochrome laser printer designed to let you focus on growing your business
HP WOLF PRO SECURITY – Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS
Speed through tasks: stay productive with automatic 2 sided printing, A 250 sheet input tray, fast first page out time, and Print speeds of up to 40 pages a minute from this Black and White laser printer
Share resources on your network: easily access, Print, and share resources with built in Ethernet capabilities
Enhanced energy efficiency: designed with the environment in mind, the HP LaserJet Pro M404dn saves up to 18 Percent energy over prior products, with technologies that help reduce paper waste
Compact size: make the most of your office space with a compact printer that conveniently fits into your shared work area
Toner Cartridges you can trust: avoid reprints, wasted Supplies, and service calls by using original HP 58a/58x toner cartridges designed for your monochrome laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.9 out of 5 stars,"1,237 ratings",https://www.amazon.com/HP-LaserJet-M404dn-Monochrome-Double-Sided/dp/B07RPCQX25/ref=sr_1_4?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-4&srs=24229290011,"Product Features: [""high-quality documents"", ""HP LaserJet Pro M404dn"", ""monochrome laser printer"", ""HP WOLF PRO SECURITY"", ""protection"", ""printer hardware"", ""firmware"", ""OS"", ""automatic 2 sided printing"", ""250 sheet input tray"", ""first page out time"", ""print speeds"", ""Black and White laser printer"", ""Ethernet capabilities"", ""energy efficiency"", ""environment"", ""technologies"", ""paper waste"", ""compact size"", ""office space"", ""shared work area"", ""HP 58a/58x toner cartridges"", ""monochrome laser printer""]"
HP LaserJet Pro M404n Monochrome Printer with built-in Ethernet (W1A52A),570.99,"BUILT TO KEEP YOUR BUSINESS MOVING FORWARD – Print consistently high-quality documents with the HP LaserJet Pro M404n, a monochrome laser printer designed to let you focus on growing your business
HP WOLF PRO SECURITY – Protect company data and safeguard against cyberattacks with protection built into the printer hardware, firmware and OS
SPEED THROUGH TASKS – Stay productive with a 250-sheet input tray, fast first page out time, and print speeds of up to 40 pages per minute from this black and white laser printer
SHARE RESOURCES ON YOUR NETWORK – Easily access, print, and share resources with built-in Ethernet capabilities
ENHANCED ENERGY EFFICIENCY – Designed with the environment in mind, the HP LaserJet Pro M404n saves up to 18% energy over prior products, with technologies that help reduce paper waste
COMPACT SIZE - Make the most of your office space with a compact printer that conveniently fits into your shared work area
TONER CARTRIDGES YOU CAN TRUST – Avoid reprints, wasted supplies, and service calls by using Original HP 58A/58X toner cartridges designed for your monochrome laser printer","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.0 out of 5 stars,"1,102 ratings",https://www.amazon.com/HP-LaserJet-M404n-Monochrome-Printer/dp/B07RRFJ15R/ref=sr_1_5?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-5&srs=24229290011,"Product Features: [""high-quality documents"", ""HP LaserJet Pro M404n"", ""monochrome laser printer"", ""company data protection"", ""protection"", ""printer hardware"", ""firmware"", ""OS"", ""250-sheet input tray"", ""first page out time"", ""print speeds"", ""40 pages per minute"", ""black and white laser printer"", ""Ethernet capabilities"", ""energy efficiency"", ""HP LaserJet Pro M404n"", ""18% energy savings"", ""technologies"", ""paper waste reduction"", ""compact size"", ""office space"", ""compact printer"", ""work area"", ""Original HP 58A/58X toner cartridges"", ""monochrome laser printer""]"
"KYOCERA ECOSYS M5526cdw All-in-One Color Laser Printer (Print/Copy/Scan/Fax), 27 ppm, Up to Fine 1200 dpi, Gigabit Ethernet, Wireless & Wi-Fi Direct, Standard Duplex, 4.3in Touchscreen Panel, 512 MB",759.00,"SPEED: Fast Output Speed at up to 27 Pages per Minute in Black and Color
ALL-IN-ONE: Standard Color Print, Copy, Scan and Black and White Fax
RESOLUTION: Up to 1200 x 1200 dpi
FEATURES: Standard Wireless and Wi-Fi Direct. Standard Duplex. Standard 50-sheet Dual Scan Document Processor for Quick Scanning of 2-sided Originals
MOBILE PRINTING: Apple AirPrint, Google Cloud Print, KYOCERA Mobile Print, Mopria","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",3.9 out of 5 stars,836 ratings,https://www.amazon.com/M5526cdw-Standard-Document-Processor-Interface/dp/B01M7Y6TWG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-6&srs=24229290011,"Product Features: [""Output Speed"", ""Pages per Minute"", ""Color"", ""All-in-one"", ""Color Print"", ""Copy"", ""Scan"", ""Black and White Fax"", ""Resolution"", ""dpi"", ""Wireless"", ""Wi-Fi Direct"", ""Duplex"", ""Dual Scan Document Processor"", ""Quick Scanning"", ""2-sided Originals"", ""Mobile Printing"", ""Apple AirPrint"", ""Google Cloud Print"", ""KYOCERA Mobile Print"", ""Mopria""]"
CHERRY Stream Desktop - Wireless Keyboard and Mouse Combo - US Layout - QWERTY Keyboard - Black,49.86,"Maximum productivity: -> Extremely quiet keystrokes -> CHERRY SX scissor mechanism -> Quiet mouse buttons -> 3-level adjustable mouse sensor with up to 2400 dpi
Highest quality: -> Rubberized feet for perfect slip resistance -> Integrated metal plate for maximum torsional rigidity -> „Blauer Engel“ ecolabel -> Durable key lettering -> Keyboard with AES-128 encryption
Optimum operating comfort: -> Battery life up to 36 months (keyboard: 36 months, mouse: 12 months) -> Status LEDs show low battery charge and mouse resolution -> Keyboard with integrated status LEDs for the CAPS LOCK, NUM and SCROLL keys -> Keyboard with 10 office & multimedia keys -> 6 mouse buttons and scroll wheel
Very latest design: -> Flat overall height -> GS approval (full size layout) -> Perfectly coordinated design","Manufacturing practices
Manufactured using processes that reduce the risk of negative environmental impact.
As certified by
",4.5 out of 5 stars,190 ratings,https://www.amazon.com/Cherry-Stream-Desktop-Wireless-Keyboard/dp/B08YRLGZGB/ref=sr_1_7?dib=eyJ2IjoiMSJ9.b7X32bu5W22kxujoieXOrf3-ugKj2UbddHbhGDY9HGheoQPNvamb-8LOWuQhhR_-3oqHDs3pYW4WiTqE8Sdxp54a41xVcCfbPJX54dgbDnmb4oNAFjn2EGJts4ZN06PYwBNu8D4_5dApsF99e90tdsu_73GkCQxUjiNvK3oR75qBLXaV-Sd4VIyTs_GsJF9kjZN_w1NyoFJofMbtXqicqL_GhFZDquNxR_IUgBgIdHtYV6w3flxpRGx10gVxWnwNXhrKy1u3bLT3jKH6VAVzpzsqGbz3zZQ-2QWG4IBS4EA.QYP8yFy4t4d6D-u3ekgxSuLBQ0vuMOWsvWSHliKrzrg&dib_tag=se&qid=1727753034&rnid=2941120011&s=electronics&sr=1-7&srs=24229290011&th=1,"Product Features: [""Quiet keystrokes"", ""CHERRY SX scissor mechanism"", ""Quiet mouse buttons"", ""3-level adjustable mouse sensor"", ""2400 dpi"", ""Rubberized feet"", ""Integrated metal plate"", ""Torsional rigidity"", ""Blauer Engel ecolabel"", ""Durable key lettering"", ""AES-128 encryption"", ""Battery life"", ""Status LEDs"", ""CAPS LOCK key"", ""NUM key"", ""SCROLL key"", ""10 office & multimedia keys"", ""6 mouse buttons"", ""Scroll wheel"", ""Flat overall height"", ""GS approval"", ""Full size layout"", ""Coordinated design""]"
